hits,feedstock,technology,end_point_id,X_coords,Y_coords,capacity,percent_full,original_feedstock_tonnes,tonnes_contributed,tonnes_still_needed,remaining_feedstock_tonnes,start_point_id,service_area_(ha),Arterial_Road_(m),Interchange_(m),Main_Road_(m),National_Freeway_(m),National_Road_(m),None_(m),On/OffRamp_(m),Other_Road_(m),Secondary_Road_(m),Street_(m),Virtual_road_(m)
1,Aliens,CBP-Pelleting,1,31.159626907379586,-27.899902312073472,24000,100.0,28577.889600000002,24000.0,0.0,4577.889600000002,W22A100343,196.09,0,0,0,0,0,0,0,0,0,0,1362.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,53.681,12883.326100000002,12883.326,11116.674,0,W22A100734,172.35,0,0,0,0,0,0,0,0,0,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,72.755,4577.889600000002,4577.89,6538.784,0,W22A100343,196.09,0,0,0,0,0,0,0,0,0,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,72.8,10.9008,10.901,6527.883,0,W22A100259,1.11,0,0,0,0,0,0,0,59.01636442108395,0,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,73.127,78.3576,78.358,6449.525,0,W22A100250,1.11,0,0,0,0,0,0,0,828.0826264206141,2594.567006773882,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,73.36,55.92960000000001,55.93,6393.595,0,W22A100249,0.79,0,0,0,0,0,0,0,3817.7320862806437,2907.655988557317,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,79.091,1375.3392000000001,1375.339,5018.256,0,W22A100733,18.7,0,0,0,0,0,0,0,3817.7320862806437,2907.655988557317,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,79.125,8.228,8.228,5010.028,0,W22A100341,6.66,0,0,0,0,0,0,0,802.4965557619786,4592.501602461825,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,79.239,27.364400000000003,27.364,4982.664,0,W22A100268,0.96,0,0,0,0,0,0,0,1509.001209168158,4592.501602461825,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,79.644,97.3176,97.318,4885.346,0,W22A100243,1.76,0,0,0,0,0,0,0,669.0305567473281,4364.091034428039,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,79.912,64.2033,64.203,4821.143,0,W22A100242,0.51,0,0,0,0,0,0,0,8563.602983218785,6125.039027614573,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,79.958,11.179200000000002,11.179,4809.964,0,W22A100355,0.48,0,0,0,0,0,0,0,8755.881927531378,6125.039027614573,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,81.517,374.0932,374.093,4435.871,0,W22A100735,16.19,0,0,0,0,0,0,0,2881.899787578175,2907.655988557317,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,81.807,69.49600000000001,69.496,4366.375,0,W22A100279,2.08,0,0,0,0,0,0,0,8151.244497383731,6125.039027614573,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,83.335,366.81980000000004,366.82,3999.555,0,W22A100736,8.87,0,0,0,0,0,0,0,7829.367277074686,6125.039027614573,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,84.801,351.88980000000004,351.89,3647.665,0,W22A100278,10.01,0,0,0,0,0,0,0,2635.910538011784,2907.655988557317,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,91.576,1625.8896000000002,1625.89,2021.775,0,W22A100713,36.09,0,0,0,0,0,0,0,2286.191673732743,2907.655988557317,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,91.671,22.922800000000002,22.923,1998.852,0,W22A100352,0.69,0,0,0,0,0,0,0,669.0305567473281,5455.536195806204,0,0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,91.685,3.225,3.225,1995.627,0,W22A100190,1.06,0,0,0,0,0,0,0,9.55711076152779e-09,0,0,2036.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,93.597,458.85580000000004,458.856,1536.771,0,W22A100350,7.54,0,0,0,0,0,0,0,9.55711076152779e-09,0,0,1362.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,94.21,147.0942,147.094,1389.677,0,W22A100287,7.6,0,0,0,0,0,0,0,3654.2279408149366,2907.655988557317,0,558.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,94.495,68.56580000000001,68.566,1321.111,0,W22A100273,1.13,0,0,0,0,0,0,0,3654.2279408149366,2907.655988557317,0,558.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,95.597,264.4371,264.437,1056.674,0,W22A100192,2.09,0,0,0,0,0,0,0,5656.869628879618,6125.039027614573,0,508.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,99.404,913.5415,913.542,143.132,0,W22A100359,14.19,0,0,0,0,0,0,0,5656.869628879618,6125.039027614573,0,508.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,99.92,123.92660000000001,123.927,19.205,0,W22A100282,3.99,0,0,0,0,0,0,0,4391.884043064412,6125.039027614573,0,89.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,99.985,15.550500000000003,15.551,3.654,0,W22A100358,0.75,0,0,0,0,0,0,0,8755.881927531378,6125.039027614573,0,635.0
26,Aliens,CBP-Pelleting,2,31.166723501289155,-27.900440935344097,24000,100.0,783.3986,3.654,-0.0,779.7446,W22A100348,4.87,0,0,0,0,0,0,0,8744.819918925075,6125.039027614573,0,941.0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,22.12,5308.7797,5308.78,18691.22,0,W22A100749,103.19,0,0,0,0,0,0,0,1304.5631233401266,966.6060571629407,504.19348370449217,0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,29.641,1804.9483,1804.948,16886.272,0,W22A100745,37.2,0,0,0,0,0,0,0,0,0,229.54211066022387,0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,37.161,1804.9483,1804.948,15081.324,0,W22A100745,37.2,0,0,0,0,0,0,0,0,0,229.54211066022387,0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,41.374,1011.0492000000002,1011.049,14070.275,0,W22A100762,15.29,0,0,0,0,0,0,0,5277.993177525062,1013.5316969860405,404.76716459055245,0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,49.649,1985.9722000000002,1985.972,12084.303,0,W22A100763,24.67,0,0,0,0,0,0,0,3577.351973402788,1013.5316969860405,404.76716459055245,132.0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,66.567,4060.4249,4060.425,8023.878,0,W22A100740,237.72,0,0,0,0,0,0,0,885.2572190965266,1013.5316969860405,404.76716459055245,434.0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,83.486,4060.4249,4060.425,3963.453,0,W22A100740,237.72,0,0,0,0,0,0,0,885.2572190965266,1013.5316969860405,404.76716459055245,434.0
8,Aliens,CBP-Pelleting,3,31.08279102975006,-27.842656066368388,24000,100.0,4060.4249,3963.453,0.0,96.97189999999864,W22A100740,237.72,0,0,0,0,0,0,0,885.2572190965266,1013.5316969860405,404.76716459055245,434.0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,19.008,4561.8574,4561.857,19438.143,0,W22A100789,22.53,0,0,0,0,0,0,0,2140.4539332882123,0,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,22.256,779.4765,779.476,18658.667,0,W22A100821,5.74,0,0,0,0,0,0,0,2582.8351289147386,1241.8142121176047,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,27.407,1236.343,1236.343,17422.324,0,W22A100764,18.05,0,0,0,0,0,0,0,799.5184279604782,0,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,29.995,621.0495000000001,621.05,16801.274,0,W22A100834,7.09,0,0,0,0,0,0,0,2485.696461791553,1523.3520409347605,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,31.74,418.9485,418.949,16382.325,0,W22A100817,5.77,0,0,0,0,0,0,0,2538.114230212363,1523.3520409347605,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,33.372,391.68850000000003,391.689,15990.636,0,W22A100826,5.26,0,0,0,0,0,0,0,2304.582766561444,1911.5470570474884,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,33.48,25.781000000000002,25.781,15964.855,0,W22A100830,7.72,0,0,0,0,0,0,0,677.7974126548609,0,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,41.528,1931.6336000000001,1931.634,14033.221,0,W22A100738,22.94,0,0,0,0,0,0,0,338.98293877883964,0,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,47.264,1376.6773,1376.677,12656.544,0,W22A100739,25.29,0,0,0,0,0,0,0,3089.132726239877,0,0,0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,64.183,4060.4249,4060.425,8596.119,0,W22A100740,237.72,0,0,0,0,0,0,0,2408.9993716396434,1654.5050101466065,0,492.0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,81.101,4060.4249,4060.425,4535.694,0,W22A100740,237.72,0,0,0,0,0,0,0,1041.9358106357138,0,0,434.0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,98.02,4060.4249,4060.425,475.269,0,W22A100740,237.72,0,0,0,0,0,0,0,1041.9358106357138,0,0,434.0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,98.424,96.97189999999864,96.972,378.297,0,W22A100740,237.72,0,0,0,0,0,0,0,1041.9358106357138,0,0,434.0
14,Aliens,CBP-Pelleting,4,31.090951951848147,-27.85198848877107,24000,100.0,1108.5610000000001,378.297,-0.0,730.2640000000017,W22A100761,15.72,0,0,0,0,0,0,0,1041.9358106357138,0,0,434.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,18.661,4478.531800000001,4478.532,19521.468,0,W31A100593,31.79,0,0,2463.7787707953516,0,0,0,0,53.46019636536428,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,19.177,123.92150000000001,123.922,19397.546,0,W31A100607,7.43,0,0,2769.8139402907004,0,0,0,0,214.67353318616668,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,19.207,7.330400000000001,7.33,19390.216,0,W31A100612,3.22,0,0,2463.7787707953516,0,0,0,0,262.7986976713116,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,19.32,27.086100000000002,27.086,19363.13,0,W31A100412,1.62,0,0,2731.731225040561,0,0,0,0,0,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,19.493,41.4782,41.478,19321.652,0,W31A100834,2.37,0,0,1091.913840560552,0,0,0,0,595.2392602777046,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,20.168,161.9046,161.905,19159.747,0,W31A100830,17.65,0,0,2962.0662415004754,0,0,0,0,1194.16618801311,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,20.297,31.051800000000004,31.052,19128.695,0,W31A100886,25.82,0,0,2962.0662415004754,0,0,0,0,1194.16618801311,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,20.426,31.051800000000004,31.052,19097.643,0,W31A100886,25.82,0,0,3759.921487221371,0,0,0,0,0,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,20.867,105.6165,105.617,18992.026,0,W31A100835,15.76,0,0,2962.0662415004754,0,0,0,0,2137.9935693459865,0,131.95110454179218,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,21.307,105.6165,105.617,18886.409,0,W31A100835,15.76,0,0,2962.0662415004754,0,0,0,0,1912.8410536830377,0,427.68622265707774,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,21.829,125.26480000000001,125.265,18761.144,0,W31A100619,52.9,0,0,6229.494285992985,0,0,0,0,8712.412518259818,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,22.139,74.56800000000001,74.568,18686.576,0,W31A100833,12.28,0,0,2962.0662415004754,0,0,0,0,2427.4934100637606,0,65.44446555214913,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,22.45,74.56800000000001,74.568,18612.008,0,W31A100833,12.28,0,0,2962.0662415004754,0,0,0,0,2427.4934100637606,0,65.44446555214913,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,26.994,1090.4804000000001,1090.48,17521.528,0,W31A101176,21.86,0,0,4640.786454375389,0,0,0,0,1861.2675159837381,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,27.041,11.3472,11.347,17510.181,0,W31A100349,4.3,0,0,6229.494285992985,0,0,0,0,11021.405293490145,0,0,0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,27.661,148.8125,148.812,17361.369,0,W31A100434,36.36,0,0,6229.494285992985,0,0,0,0,8078.11416527428,0,0,0
