ID,Prod_id,Cap_slope,Cap_int,Op_slope,Op_int,Efficiency
AD-1,Biogas,-584.14,2140,-58.414,214,21
AD-2,Biogas,-928.82,11541,-51.085,635,79
AD-3,Biogas,-664.33,8584,-92.817,1157,38
APR,Alkanes,-4928.8,79918,-932.2,15115,40
BIGCC,Electricity,-549.47,10394,-63.842,992,46
But-Ligno,Butanol,-7356.8,111973,2.767,1921,43
But-Starch,Butanol,-4574.7,65787,-1653.4,22439,19
But-to-Jet,Jet-Fuel,-4064.1,59041,-916.5,13599,80
CBP-Chipping,wood_chips,-25.077,306,-0.06,1,93
CBP-Pelleting,pellets,-763.01,9729,-289.36,3979,81
CFP-UP,biogas,-2572.4,42377,-585.99,9654,44
COMB-CHP,Electricity,-1410.7,21348,-64.587,1303,65
COMB-EL,Electricity,-1806.2,28750,-90.311,1438,30
COMB-IC,Electricity,-8738.5,105891,-716.08,9333,75
COMB-Tri,Electricity,-3124.4,31516,-130.23,1314,64
Eth-Ligno,Ethanol,-3786.9,57639,-1012.1,16206,42
Eth-Starch,Ethanol,-3328.7,47870,-1394.6,20641,30
Eth-Sugar,Ethanol,-7215.8,103768,-1850.1,25639,21
Eth-to-Jet,Jet-Fuel,-3927.1,57050,-891.810 I,13366,90
Ferm-Hydro,BioDiesel,-1866,26834,-1022.1,15539,44
Ferm-Hydro-Jet,Jet-Fuel,-4029.8,57951,-1412,20318,35
FFA-to-Jet,Jet-Fuel,-7329.9,111563,-1663.3,24884,17
HEFA-1,Jet-Fuel,-3478.9,54379,-1094.8,18102,47
HPy,Liquid_Fuels,-1801.1,27438,-110,1676,70
HTL,Liquid_Fuels,-4275,65962,-688.57,10624,54
Lip-to-Jet,Jet-Fuel,-6406.2,99418,-1351.6,20666,21
Org-acid-to-Jet,Jet-Fuel,-2237.5,34055,-861.61,13283,59
PY-EL,Liquid_Bio-oil,-1842.3,25344,-92.654,1275,60
PY-Fast,Biogas,-4070.7,62014,-659.43,10046,37
S2D-Hyd,Gasoline,-2552.2,38880,-825.97,12518,49
Sep-Cat,Ethanol,-7451.2,113410,-1537.9,24503,41
Small-FT-Jet_(HT),Jet-Fuel,-5011.3,74060,-1358.7,19646,55
Small-FT-Road_(HT),Gasoline,-5011.3,74060,-1358.7,19927,54
Syn-Cat,Ethanol,-6820.1,103896,-1432,21692,52
Syn-Fer,Ethanol,-4777.4,72714,-1172.9,17584,31
Syn-FT-Jet_(HT),Jet-Fuel,-2218.4,35758,-464.83,7552,55
Syn-FT-Jet_(LT),Jet-Fuel,-1825.9,29432,-503.61,7804,44
Syn-FT-Road_(HT),Gasoline,-2218.4,35758,-464.83,7808,50
Syn-FT-Road_(LT),Gasoline,-1825.9,29432,-394.11,6650,43
Syn-Prd_(1),Syngas,-142.56,1768,-1374.6,15738,63
Syn-Prd_(2),Syngas,-192.61,2678,-595.59,8017,70
Syn-Prd_(3),Syngas,-172.44,2565,-480.34,7173,71
TORR-1,Electricity,-313.75,4825,-68.518,1054,87
TORR-2,Electricity,-545.99,8579,-43.679,686,70
TRANS-1,BioDiesel,-810.86,10369,-1666.5,19920,95
TRANS-2,BioDiesel,-915.37,12454,-771.94,11858,93